ch	ring	ped	gain
42	14	0.041743645	0.022988513
42	15	0.041649271	0.02293654
43	0	0.045309676	0.024952351
43	1	0.046033021	0.025350702
43	2	0.046675247	0.02570438
43	3	0.046981824	0.025873214
43	4	0.047574881	0.026199814
43	5	0.047670776	0.026252625
43	6	0.048274448	0.026585071
43	7	0.048253364	0.02657346
43	8	0.048760736	0.026852873
43	9	0.048772696	0.026859459
43	10	0.048779593	0.026863258
43	11	0.048528468	0.026724962
43	12	0.048908095	0.026934025
43	13	0.048647667	0.026790605
43	14	0.048913899	0.026937221
43	15	0.047932251	0.026396621
44	0	0.037858904	0.020849159
44	1	0.03831123	0.021098258
44	2	0.039109441	0.021537838
44	3	0.039441711	0.021720822
44	4	0.040311201	0.022199656
44	5	0.040791982	0.022464425
44	6	0.041280495	0.022733453
44	7	0.041723374	0.02297735
44	8	0.041871184	0.02305875
44	9	0.042182054	0.023229947
44	10	0.04246515	0.023385851
44	11	0.042729783	0.023531586
44	12	0.043015742	0.023689065
44	13	0.043043187	0.02370418
44	14	0.043183534	0.02378147
44	15	0.043294971	0.023842839
45	0	0.033590656	0.018498605
45	1	0.034612076	0.019061109
45	2	0.035279153	0.019428473
45	3	0.035566284	0.019586598
45	4	0.036143658	0.019904562
45	5	0.036357246	0.020022186
45	6	0.036654674	0.020185982
45	7	0.036998396	0.020375272
45	8	0.037962352	0.020906129
45	9	0.038213008	0.021044167
45	10	0.038605913	0.021260542
45	11	0.038699884	0.021312293
45	12	0.038904274	0.021424852
45	13	0.038921393	0.021434279
45	14	0.039676857	0.021850319
45	15	0.039437767	0.02171865
46	0	0.039996622	0.022026415
46	1	0.040790956	0.022463861
46	2	0.041209803	0.022694522
46	3	0.041801082	0.023020144
46	4	0.0423506	0.023322767
46	5	0.042942243	0.023648589
46	6	0.043217844	0.023800364
46	7	0.043889088	0.024170023
46	8	0.044117145	0.024295615
46	9	0.043752057	0.024094559
46	10	0.044371201	0.024435526
46	11	0.044189451	0.024335435
46	12	0.044561248	0.024540186
46	13	0.04468887	0.024610468
46	14	0.044842907	0.024695298
46	15	0.044842907	0.024695298
47	0	0.034000114	0.018724097
47	1	0.034324481	0.018902728
47	2	0.034185373	0.018826121
47	3	0.034266976	0.01887106
47	4	0.034478018	0.018987282
47	5	0.035036979	0.019295105
47	6	0.035692113	0.019655892
47	7	0.035730206	0.019676871
47	8	0.03528907	0.019433934
47	9	0.035663785	0.019640292
47	10	0.035512374	0.019556909
47	11	0.035507414	0.019554178
47	12	0.035962397	0.01980474
47	13	0.035241254	0.019407601
47	14	0.036040788	0.01984791
47	15	0.036040788	0.01984791
