ch	offset	gain
160	21.8783	0.0059359
161	21.3251	0.0060215
162	21.2785	0.0058936
163	21.7284	0.0059378
164	21.0792	0.0061270
165	24.1832	0.0060647
166	21.97	0.0060140
167	20.3024	0.0057727
168	25.6274	0.0057909
169	21.2675	0.0057912
170	25.441	0.0058259
171	20.8702	0.0057868
172	24.0155	0.0059029
173	19.8446	0.0059773
174	24.2912	0.0058413
175	20.1451	0.0060595
176	23.3833	0.0057677
177	19.02	0.0056869
178	23.8456	0.0058196
179	19.0106	0.0057114
180	23.6606	0.0058030
181	19.068	0.0056615
182	23.7202	0.0055598
183	17.9306	0.0057828
184	21.49	0.0058559
185	21.1983	0.0058711
186	20.4491	0.0055748
187	19.8965	0.0057908
188	21.9192	0.0056826
189	21.5373	0.0057176
190	22.122	0.0058406
191	20.5401	0.0061215

